indice,titulo,artista,ano,nivel_toxicidade,abuso_emocional,ciume_possessividade,dependencia,objetificacao,violencia_traicao,justificativa
0,Vehicle,Ides Of March,1970.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. O eu-lírico apresenta uma proposta de viagem e amor, mas não há coerção ou manipulação na mensagem. A letra também não possui frases que reforçam dependência emocional ou submissão. Pelo contrário, a música serve como exemplo de oferta de amor e companhia sem qualquer elemento prejudicial à saúde emocional."
1,S&M;,Rihanna,2011.0,muito alto,False,False,False,False,False,"A letra da música ""S&M"" de Rihanna contém referências explícitas a BDSM e sadomasoquismo, além de expressar uma preferência por práticas que podem ser consideradas abusivas ou violentes. Essas frases incluem: - ""Sticks and stones may break my bones / But chains and whips excite me"" - A letra sugere que a dor física é desejável e excitante para o eu-lírico, naturalizando práticas violentes. - ""The affliction of the feeling leaves me wanting more"" - Essa frase sugere uma dependência emocional ou sexual na dor e nos atos abusivos. - ""Love is great, love is fine / Out the box, outta line"" - A letra romantiza a ideia de que o amor é melhor fora do comum e transgressivo, sem respeito pelas normas sociais ou éticas."
2,In The Night,Weeknd,2016.0,muito alto,False,False,False,False,False,"A letra descreve uma situação em que a protagonista é submetida a violência e abuso, sendo forçada a dançar para aliviar o doloroso passado. O eu-lírico não se opõe ao comportamento do agressor e mesmo reconhece sua capacidade de ""tudo"". A letra também sugere que a protagonista está num estado de dependência emocional, sendo incapaz de sair da situação abusiva. Esses elementos são característicos de relações tóxicas e podem naturalizar ou validar comportamentos abusivos."
3,Layla,Derek and The Dominos,1972.0,alto,False,False,False,False,False,"""(What'll you do when you get lonely / And nobody's waiting by your side)"" e ""(I tried to give you consolation / When your old man had let you down)"" expressam preocupação com o estado emocional da pessoa, mas também podem ser interpretados como códigos para um relacionamento tóxico ou infiel. ""(Like a fool, I fell in love with you / Turned my whole world upside down)"" e ""(Let's make the best of the situation / Before I finally go insane)"" reforçam o ciclo de dependência emocional dentro da relação, sugerindo que o eu-lírico se sente culpado por ter entrado no relacionamento. O uso repetido do verbo ""begging"" também pode ser interpretado como um sinal de submissão e baixa autoestima. Por fim, a ausência explícita da pessoa que o eu-lírico está se referindo (""Layla"") pode indicar uma relação tóxica ou infiel, já que não há clareza sobre quem é realmente a pessoa em questão."
4,Beautiful,Akon feat. Colby O'Donis and Kardinal Offishall,2009.0,muito baixo,False,False,False,False,False,"A letra não apresenta frases que validem ou romantizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música foca na admiração e atracção do eu-lírico pela garota, expressando seu desejo de estar com ela sem pressão ou submissão. Além disso, há uma mensagem positiva sobre respeito à independência da mulher e o reconhecimento de sua beleza interna."
5,Come On Over Baby (All I Want Is You),Christina Aguilera,2000.0,na,False,False,False,False,False,
6,Do Anything,Natural Selection,1991.0,alto,False,False,False,False,False,"A letra apresenta uma dependência emocional intensa e possessiva do eu-lírico, que expressa a necessidade de ter o outro sempre presente. Essas características podem ser prejudiciais à saúde emocional da pessoa envolvida no relacionamento, pois reforçam uma dinâmica de dependência e codependência. Além disso, a letra também expressa um desejo de controlar o outro (""I'll do anything for your loving""), que pode ser prejudicial à autonomia e identidade da pessoa. Por fim, há uma sugestão de violência sexual no verso ""Rock the floors"", embora seja mais subtil em comparação com alguns exemplos anteriores."
7,Carry On,fun.,2013.0,muito baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música serve como exemplo de superação pós-relacionamento tóxico e empoderamento, promovendo autoestima e independência. O eu-lírico reforça sua força e autonomia após o fim do relacionamento, além de enfatizar que ele não é mais aquele ""ghost"" ou fantasma desejado pelo ex-parceiro. A mensagem geral da música é de resiliência e superação pessoal, reforçando que se pode sobreviver e mudar após um relacionamento tóxico."
8,Work It,"Missy ""Misdemeanor"" Elliott",2002.0,na,False,False,False,False,False,"A letra apresenta uma proposta sexual explícita e agressiva, além de referências a prostituição. Embora não haja frases que validem ou romantizem comportamentos abusivos, possessivos ou controladores, a música pode ser considerada como objeto de desejo e fantasia sexualizado, o que pode contribuir para uma visão distorcida sobre relacionamentos saudáveis. Além disso, há referências às mulheres como objetos sexuais passivos, sem autonomy ou poder na situação. Por fim, a letra também apresenta linguagem de baixo calão e sexualizada que pode ser ofensiva para algumas pessoas."
9,Switch,Will Smith,2005.0,muito baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música é centrada no entretenimento e na dança, promovendo o divertimento e a liberdade de expressão. Não há referências a relacionamentos ou sentimentos profundos, apenas uma solicitação para as pessoas se moverem e dançarem no clube. A letra não possui conteúdo que promova qualquer comportamento negativo ou prejudicial à saúde emocional das pessoas."
10,Love Me Like You Do,Ellie Goulding,2015.0,muito baixo,False,False,False,False,False,"A letra não possui frases que validem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música expressa uma forte conexão e desejo de ser amada pelo outro. A letra não promove dependência emocional ou submissão, mas sim um relacionamento equilibrado e respeitoso."
11,Do The Bird,Dee Dee Sharp,1963.0,muito baixo,False,False,False,False,False,"A letra ""Do The Bird"" é centrada em uma dança simples e divertida entre duas pessoas. O eu-lírico não expressa qualquer sentimento negativo ou dependência emocional, nem há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de interação positiva e divertida entre duas pessoas, promovendo comunidade e lazer."
12,If U Seek Amy,Britney Spears,2009.0,baixo,False,False,False,False,False,"A letra não apresenta frases que validem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. O eu-lírico expressa interesse romântico por uma pessoa chamada Amy e deseja achar dela no local onde ela está se encontrando, mas não há frases que indicem dependência emocional ou submissão. A música é centrada na busca de amor e o desejo de conhecer alguém novo, sem qualquer referência negativa a relacionamentos anteriores ou comportamento prejudicial à saúde emocional."
13,Cathy's Clown,Everly Brothers,1960.0,alto,False,False,False,False,False,"""(Don't want your love any more / Don't want your kisses, that's for sure)"" expressa desejo de se afastar do relacionamento. No entanto, a letra também indica que o eu-lírico está sofrendo e morrendo emocionalmente devido à presença da pessoa mencionada (""I die each time I hear this sound""). ""(Here he comes, that's Cathy's clown)"" sugere um relacionamento tóxico ou infiel. A frase ""(When you see me shed a tear / And you know that it's sincere / Don't you think it's kind of sad, that you're treating me so bad? Or don't you even care?) "" expressa dor emocional e sentimento de abandono. A letra reforça que a pessoa mencionada não se importa com o bem-estar do eu-lírico, o que pode ser interpretado como comportamento controlador ou sem respeito pela outra pessoa."
14,Quarter To Three,"Gary ""U.S."" Bonds",1961.0,muito baixo,False,False,False,False,False,"A letra descreve uma experiência positiva e divertida em que o eu-lírico dança com a banda ""Church Street Five"" e ""Daddy G"". O enfoque é sobre a diversão, felicidade e música. Não há frases ou elementos que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e divertida sobre dançar e se divertir com amigos."
15,Team,Lorde,2014.0,muito baixo,False,False,False,False,False,"A letra não apresenta frases que validem ou romantizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música fala sobre união e solidariedade entre as pessoas, independentemente de onde vivem ou como se apresentam. A letra não promove dependência emocional nem submissão, mas sim autoestima e autonomia. Além disso, a mensagem da música é positiva e inspiradora, incentivando o empoderamento coletivo das pessoas que vivem nas cidades ""nunca verá na tela""."
16,96 Tears,? and The Mysterians,1966.0,alto,False,False,False,False,False,"""Too many teardrops For one heart to be cryin'"" expressa sofrimento recorrente e intensivo. ""(You're gonna cry 96 tears)"" pode ser interpretado como uma ameaça ou desejo de vingança, reforçando a ideia de que o outro terá que pagar pelo fim do relacionamento. ""(But watch out now I'm gonna get there / We'll be together For just a little while)"" e ""(I'm way down here Wonderin' how I'm gonna get you But I know now / I'll just cry Cry I'll just cry)"" indicam dificuldade em se afastar, mesmo após o fim do relacionamento, sugerindo dependência emocional. ""(I might wave Come up here /But I don't see you Wavin' now)"" e ""(You're gonna cry 96 tears You're gonna cry 96 tears You're gonna cry, cry, cry, cry, now)"" reforçam a ideia de que o outro terá que pagar pelo fim do relacionamento. Por último, ""All night long"" pode ser interpretado como uma ameaça ou desejo de vingança, naturalizando um ciclo de dor emocional e sofrimento recorrente."
17,I'm Easy,Keith Carradine,1976.0,baixo,False,False,False,False,False,"A letra não expressa medo ou dependência emocional. Em vez disso, o eu-lírico afirma sua autonomia e capacidade de escolher como se relacionar com outras pessoas. O uso do termo ""easy"" pode ser interpretado como uma indicação da facilidade com que a pessoa aceita as propostas amorosas, mas não implica qualquer dependência ou submissão. Não há frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de narrativa positiva e independência na escolha dos relacionamentos."
18,Take Good Care Of Her,Adam Wade,1961.0,baixo,False,False,False,False,False,"A letra expressa tristeza e renúncia após o fim do relacionamento. O eu-lírico aceita a situação, deseja bem ao novo parceiro e pede que ele cuide da ex-namorada. Não há frases que validem ou romantizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Pelo contrário, a música serve como exemplo de renúncia e respeito pela ex-namorada, promovendo autoestima e independência."
19,Prayer For The Dying,Seal,1994.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. O eu-lírico expressa dor e desesperança por um relacionamento que não está funcionando mais, mas também busca se movimentar para frente e encontrar uma solução positiva. A música serve como exemplo de narrativa sobre a superação após o fim de um relacionamento tóxico ou difícil, reforçando a importância do tempo e da autoestima pessoal na vida."
